origin_apk	original_path	target_path	density	purpose	source_sha256	target_sha256	byte_status
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_80.png	res/drawable-xxhdpi/face_loop_80.png	drawable-xxhdpi	faceid_frames	79e3007957e9ec1d7324589fe8e7211e017286425b6931b561d690e6494a3a7e	79e3007957e9ec1d7324589fe8e7211e017286425b6931b561d690e6494a3a7e	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_81.png	res/drawable-xxhdpi/face_loop_81.png	drawable-xxhdpi	faceid_frames	bff89d90a4ac2bda92baabb7229d985590dcfbd0d7c58f9c020f5aa7a208ae0f	bff89d90a4ac2bda92baabb7229d985590dcfbd0d7c58f9c020f5aa7a208ae0f	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_82.png	res/drawable-xxhdpi/face_loop_82.png	drawable-xxhdpi	faceid_frames	723289b8ced4db0d3da5909b242b49125be511aad026007ece5839daa9877653	723289b8ced4db0d3da5909b242b49125be511aad026007ece5839daa9877653	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_83.png	res/drawable-xxhdpi/face_loop_83.png	drawable-xxhdpi	faceid_frames	31983abc92fca82c7454963bc99adecb9435c01701281b176f9e4207ac22b261	31983abc92fca82c7454963bc99adecb9435c01701281b176f9e4207ac22b261	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_84.png	res/drawable-xxhdpi/face_loop_84.png	drawable-xxhdpi	faceid_frames	ae724a2ff12057737a413179585b92bcbbc1e5b6277953adeca552344080ad6f	ae724a2ff12057737a413179585b92bcbbc1e5b6277953adeca552344080ad6f	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_85.png	res/drawable-xxhdpi/face_loop_85.png	drawable-xxhdpi	faceid_frames	f9a348f0b85b5fda8074e266c7df763b85b6ab97866cf4dfceec0b7613030590	f9a348f0b85b5fda8074e266c7df763b85b6ab97866cf4dfceec0b7613030590	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_86.png	res/drawable-xxhdpi/face_loop_86.png	drawable-xxhdpi	faceid_frames	1880739b00b71b854be45122399c8de7e4de481a8d0840e9968b1c6b3f5c661c	1880739b00b71b854be45122399c8de7e4de481a8d0840e9968b1c6b3f5c661c	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_87.png	res/drawable-xxhdpi/face_loop_87.png	drawable-xxhdpi	faceid_frames	35f808c86bf3f9103c86650bae19e07113d6b5d300dae4b7b17a667cad309919	35f808c86bf3f9103c86650bae19e07113d6b5d300dae4b7b17a667cad309919	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_88.png	res/drawable-xxhdpi/face_loop_88.png	drawable-xxhdpi	faceid_frames	1f49a821bc5c89c1ee83f2258c5fcc25d5a5fd8c839df63c138aa83d5c66a8c6	1f49a821bc5c89c1ee83f2258c5fcc25d5a5fd8c839df63c138aa83d5c66a8c6	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_89.png	res/drawable-xxhdpi/face_loop_89.png	drawable-xxhdpi	faceid_frames	ec862530569fbba450abbc80ac738ae0ebe2ee391e04ca74ef649bda05202cfb	ec862530569fbba450abbc80ac738ae0ebe2ee391e04ca74ef649bda05202cfb	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_loop_90.png	res/drawable-xxhdpi/face_loop_90.png	drawable-xxhdpi	faceid_frames	8a303b743b9cfea70ad39d8999b6daba24a110993422dd55fbaa3c9d1ab3a8c4	8a303b743b9cfea70ad39d8999b6daba24a110993422dd55fbaa3c9d1ab3a8c4	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_00.png	res/drawable-xxhdpi/face_successed_00.png	drawable-xxhdpi	faceid_frames	b123776fb463a64aea4739db849e5be6f87c1021a6df9d0346d47e41b4bd319f	b123776fb463a64aea4739db849e5be6f87c1021a6df9d0346d47e41b4bd319f	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_01.png	res/drawable-xxhdpi/face_successed_01.png	drawable-xxhdpi	faceid_frames	1e40c26856807122533683318ff5c538dc3489c2b1a7305960aee8e70c68ce52	1e40c26856807122533683318ff5c538dc3489c2b1a7305960aee8e70c68ce52	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_02.png	res/drawable-xxhdpi/face_successed_02.png	drawable-xxhdpi	faceid_frames	9537d480704d427a031d00ae87590972ae2d038e29c63cb3dd2ffd73ad4d8bd5	9537d480704d427a031d00ae87590972ae2d038e29c63cb3dd2ffd73ad4d8bd5	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_03.png	res/drawable-xxhdpi/face_successed_03.png	drawable-xxhdpi	faceid_frames	80d58cf57fc5ac8c24505e41f467a28ca3acce36af43929e3e9c04bbd76232ff	80d58cf57fc5ac8c24505e41f467a28ca3acce36af43929e3e9c04bbd76232ff	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_04.png	res/drawable-xxhdpi/face_successed_04.png	drawable-xxhdpi	faceid_frames	7dea53849a801f8b48e601b22c314a735a69f4ec8672ebc5a83113ad4df6495c	7dea53849a801f8b48e601b22c314a735a69f4ec8672ebc5a83113ad4df6495c	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_05.png	res/drawable-xxhdpi/face_successed_05.png	drawable-xxhdpi	faceid_frames	fc8f488eb2e352bc3b6a821a1ce120794ca79d0ce620b07fb785c4b9824bacb7	fc8f488eb2e352bc3b6a821a1ce120794ca79d0ce620b07fb785c4b9824bacb7	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_06.png	res/drawable-xxhdpi/face_successed_06.png	drawable-xxhdpi	faceid_frames	16f2e06f11260d4f462f8d84c3fe692dbd43847d019702276de69e089b82316d	16f2e06f11260d4f462f8d84c3fe692dbd43847d019702276de69e089b82316d	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_07.png	res/drawable-xxhdpi/face_successed_07.png	drawable-xxhdpi	faceid_frames	5378b63b0d3a27076dbc8d885c25fb09e542c1da05121b0b6a46278ed08c4964	5378b63b0d3a27076dbc8d885c25fb09e542c1da05121b0b6a46278ed08c4964	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_08.png	res/drawable-xxhdpi/face_successed_08.png	drawable-xxhdpi	faceid_frames	8cbf9e263eeab5387f03e31e5294dcb55365a87d208d46831bc2a342894aed03	8cbf9e263eeab5387f03e31e5294dcb55365a87d208d46831bc2a342894aed03	exact
